"filename", "language", "JavaScript", "JSON", "Markdown", "JavaScript JSX", "HTML", "Properties", "XML", "CSS", "comment", "blank", "total"
"e:\Kuliah\Semester 2\Web Programming I\Progress Projek\projek-nusaBus\README.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 0, 0, 6, 13
"e:\Kuliah\Semester 2\Web Programming I\Progress Projek\projek-nusaBus\eslint.config.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"e:\Kuliah\Semester 2\Web Programming I\Progress Projek\projek-nusaBus\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"e:\Kuliah\Semester 2\Web Programming I\Progress Projek\projek-nusaBus\nusaBus-backend\.env", "Properties", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"e:\Kuliah\Semester 2\Web Programming I\Progress Projek\projek-nusaBus\nusaBus-backend\package-lock.json", "JSON", 0, 991, 0, 0, 0, 0, 0, 0, 0, 1, 992
"e:\Kuliah\Semester 2\Web Programming I\Progress Projek\projek-nusaBus\nusaBus-backend\package.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"e:\Kuliah\Semester 2\Web Programming I\Progress Projek\projek-nusaBus\nusaBus-backend\server.js", "JavaScript", 243, 0, 0, 0, 0, 0, 0, 0, 6, 35, 284
"e:\Kuliah\Semester 2\Web Programming I\Progress Projek\projek-nusaBus\package-lock.json", "JSON", 0, 4013, 0, 0, 0, 0, 0, 0, 0, 1, 4014
"e:\Kuliah\Semester 2\Web Programming I\Progress Projek\projek-nusaBus\package.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 0, 0, 1, 41
"e:\Kuliah\Semester 2\Web Programming I\Progress Projek\projek-nusaBus\public\nusabus-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"e:\Kuliah\Semester 2\Web Programming I\Progress Projek\projek-nusaBus\src\App.jsx", "JavaScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"e:\Kuliah\Semester 2\Web Programming I\Progress Projek\projek-nusaBus\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\Kuliah\Semester 2\Web Programming I\Progress Projek\projek-nusaBus\src\components\BookingModal.jsx", "JavaScript JSX", 0, 0, 0, 100, 0, 0, 0, 0, 3, 14, 117
